Nickname,Isolate/Strain/Clone,Species,Host,Location,Accession,Group
AB632573_Basilia_truncata,BaTr5,Basilia truncata,Myotis mystacinus,Japan,AB632573,1
AB632575_Basilia_rybini,BaRy1,Basilia rybini,Myotis daubentonii,Japan,AB632575,1
AB632576_Nycteribia_allotopa,NyAl9,Nycteribia allotopa,Miniopterus fuliginosus,Japan,AB632576,1
AB632578_Nycteribia_pygmaea,NyPy4,Nycteribia pygmaea,Myotis macrodactylus,Japan,AB632578,1
AB632580_Nycteribia_pleuralis,NyPl4,Nycteribia pleuralis,Myotis mystacinus,Japan,AB632580,1
AB632582_Penicillidia_jenynsii,PeJe3,Penicillidia jenynsii,Miniopterus fuliginosus,Japan,AB632582,1
AB632584_Penicillidia_monoceros,PeMo1,Penicillidia monoceros,Myotis macrodactylus,Japan,AB632584,1
AB632586_Phthiridium_hindlei,PhHi2,Phthiridium hindlei,Rhinolophus ferrumequinum,Japan,AB632586,1
DQ133026_Phtiridium_fraterna,Di140,Phtiridium fraterna,Hipposiderus bicolor,Malaysia,DQ133026,1
DQ133034_Eucampsipoda_penthetoris,Di145,Eucampsipoda penthetoris,Eonycteris spelaea,Malaysia,DQ133034,1
DQ133038_Dipseliopoda_biannulata,Di18,Dipseliopoda biannulata,,,DQ133038,1
GoG_G1_2_Eh_ST,G1-2-Eh-ST,Cyclopodia greefi,Eidolon helvum,Sao Tome,ST,2
GoG_G10_13_Ra_GH,G10-13-Ra-GH,Eucampsipoda africana 2,Rousettus aegyptiacus,Ghana,GH,3
GoG_G10_47_Ra_GH,G10-47-Ra-GH,Dipseliopoda biannulata,Rousettus aegyptiacus,Ghana,GH,4
GoG_G3_13_Ra_PR,G3-13-Ra-PR,Eucampsipoda africana 1,Rousettus aegyptiacus,Principe,PR,3
MH138030_Eucampsipoda_africana,NG13-008,Eucampsipoda africana,Rousettus aegyptiacus,Nigeria,MH138030,1
OQ401037_Cyclopodia_sykesii,BF303,Cyclopodia sykesii,Pteropus medius,Bangladesh,OQ401037,1
