Nickname,Isolate/Strain/Clone,Species,Host,Location,Accession,Group
DQ133129_B.corynorhini,Di131,Basilia corynorhini,,,DQ133129,1
DQ133130_P.fraterna,Di140,Phthiridium fraterna,,,DQ133130,1
DQ133136_B.forcipata,Di147,B.forcipata,,,DQ133136,1
DQ133140_E.penthetoris,Di145,Eucampsipoda penthetoris,,,DQ133140,1
DQ133143_B.coronata,Di141,Basilia coronata,,,DQ133143,1
DQ133148_E.inermis,Di146,Eucampsipoda inermis,,,DQ133148,1
GoG_G1_2_Eh_ST,G1-2-Eh-ST,Cyclopodia greefi 1,Eidolon helvum,Sao Tome,ST,2
GoG_G10_13_Ra_GH,G10-13-Ra-GH,Eucampsipoda africana 3,Rousettus aegyptiacus,Ghana,GH,3
GoG_G10_14_Ra_GH,G10-14-Ra-GH,Eucampsipoda africana 2,Rousettus aegyptiacus,Ghana,GH,3
GoG_G10_24_Ra_GH,G10-24-Ra-GH,Eucampsipoda africana 4,Rousettus aegyptiacus,Ghana,GH,3
GoG_G10_8_Ra_GH,G10-8-Ra-GH,Eucampsipoda africana 1,Rousettus aegyptiacus,Ghana,GH,3
GoG_G3_15_Ra_PR,G3-15-Ra-PR,Eucampsipoda africana 5,Rousettus aegyptiacus,Principe,PR,3
GoG_G7_26_Eh_AN,G7-26-Eh-AN,Cyclopodia greefi 2,Eidolon helvum,Annobon,AN,2
KF273687_C.horsfieldi,KB2,Cyclopodia horsfieldi,Pteropus vampyrus,Malaysia,KF273687,1
KF273688_C.horsfieldi,RC14,Cyclopodia horsfieldi,Pteropus vampyrus,Malaysia,KF273688,1
KF273689_C.horsfieldi,PPH06,Cyclopodia horsfieldi,Pteropus hypomelanus,Malaysia,KF273689,1
