"","label","loc1","loc2","spear","bray","jaccard","euclidean","main","bat_mtDNA","bat_microsats"
"1","BI-MA",2,1,0.101780303565056,0.113333333333333,0.203592814371257,16.3095064303001,36,0,0
"2","PR-MA",3,1,0.0898040409459231,0.317647058823529,0.482142857142857,40.4845649599943,217,0.5,0.05
"3","ST-MA",4,1,0.149685354041586,0.258620689655172,0.410958904109589,39.5474398665704,242,0.31,0.04
"4","AN-MA",5,1,0.197590404518116,0.258823529411765,0.411214953271028,42.3792402008342,349,0.57,0.12
"5","PR-BI",3,2,0.19047619047619,0.358024691358025,0.527272727272727,41.5812457725836,208,0.46,0.04
"6","ST-BI",4,2,0.19047619047619,0.25,0.4,46.0434577328854,373,0.29,0.03
"7","AN-BI",5,2,0.214285714285714,0.25609756097561,0.407766990291262,39.496835316263,605,0.5,0.11
"8","ST-PR",4,3,0.142857142857143,0.319587628865979,0.484375,44.7548880012005,147,0.07,0.01
"9","AN-PR",5,3,0.166666666666667,0.385159010600707,0.556122448979592,60.0249947938357,379,0.77,0.07
"10","AN-ST",5,4,0.0476190476190474,0.212765957446809,0.350877192982456,37.5233260785874,186,0.58,0.07
