IQ-TREE multicore version 2.1.1 COVID-edition for Windows 64-bit built Aug 20 2020
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    DESKTOP-7HQB3DG (AVX2, FMA3, 7 GB RAM)
Command: iqtree2 -s C:\iqtree-2.1.1-Windows\bin\cytB_seqs_mafft_gb_haplotypes.fasta -m MFP -AIC -B 1000
Seed:    334931 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Mon Mar 08 12:13:07 2021
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file C:\iqtree-2.1.1-Windows\bin\cytB_seqs_mafft_gb_haplotypes.fasta ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
Alignment has 16 sequences with 387 columns, 127 distinct patterns
127 parsimony-informative, 24 singleton sites, 236 constant sites
                        Gap/Ambiguity  Composition  p-value
   1  DQ133140_E.penthetoris    3.62%    passed     52.81%
   2  DQ133148_E.inermis        3.62%    passed     59.18%
   3  DQ133130_P.fraterna       3.62%    passed     91.72%
   4  DQ133136_B.forcipata      8.01%    passed     78.44%
   5  DQ133143_B.coronata       3.62%    passed     97.98%
   6  DQ133129_B.corynorhini    3.62%    passed     92.93%
   7  KF273687_C.horsfieldi     6.20%    passed     84.66%
   8  KF273688_C.horsfieldi     6.20%    passed     84.52%
   9  KF273689_C.horsfieldi     6.20%    passed     84.66%
  10  GoG_G1_2_Eh_ST            0.00%    passed     65.65%
  11  GoG_G3_15_Ra_PR           0.00%    passed     90.36%
  12  GoG_G7_26_Eh_AN           0.00%    passed     58.88%
  13  GoG_G10_8_Ra_GH           0.00%    passed     85.02%
  14  GoG_G10_13_Ra_GH          5.17%    passed     75.11%
  15  GoG_G10_14_Ra_GH          0.00%    passed     82.23%
  16  GoG_G10_24_Ra_GH          0.00%    passed     83.70%
****  TOTAL                     3.12%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.006 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)

WARNING: Estimated model parameters are at boundary that can cause numerical instability!

Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -1571.481
Optimal log-likelihood: -1571.134
Rate parameters:  A-C: 12.50088  A-G: 8.31044  A-T: 35.94112  C-G: 8.06561  C-T: 100.00000  G-T: 1.00000
Base frequencies:  A: 0.352  C: 0.147  G: 0.086  T: 0.415
Proportion of invariable sites: 0.299
Gamma shape alpha: 0.832
Parameters optimization took 1 rounds (0.026 sec)

WARNING: Estimated model parameters are at boundary that can cause numerical instability!

Time for fast ML tree search: 0.092 seconds

NOTE: ModelFinder requires 1 MB RAM!
ModelFinder will test up to 286 DNA models (sample size: 387) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         1621.912     37  3317.824     3325.881     3464.286
  2  GTR+F+I       1571.376     38  3218.752     3227.269     3369.172
  3  GTR+F+G4      1571.223     38  3218.445     3226.962     3368.865
  4  GTR+F+I+G4    1571.088     39  3220.175     3229.167     3374.554
  5  GTR+F+R2      1574.095     39  3226.189     3235.181     3380.568
  6  GTR+F+R3      1571.648     41  3225.296     3235.279     3387.592
  7  GTR+F+R4      1570.445     43  3226.890     3237.922     3397.102
 15  SYM+I         1645.226     35  3360.452     3367.631     3498.997
 16  SYM+G4        1645.504     35  3361.007     3368.187     3499.552
 17  SYM+I+G4      1645.154     36  3362.309     3369.920     3504.812
 18  SYM+R2        1645.198     36  3362.396     3370.007     3504.899
 19  SYM+R3        1644.922     38  3365.844     3374.361     3516.264
 28  TVM+F+I       1596.517     37  3267.034     3275.091     3413.496
 29  TVM+F+G4      1595.423     37  3264.846     3272.903     3411.307
 30  TVM+F+I+G4    1595.579     38  3267.158     3275.675     3417.578
 31  TVM+F+R2      1596.081     38  3268.161     3276.679     3418.581
 32  TVM+F+R3      1595.324     40  3270.647     3280.127     3428.984
 41  TVMe+I        1676.685     34  3421.370     3428.131     3555.956
 42  TVMe+G4       1677.618     34  3423.236     3429.997     3557.822
 43  TVMe+I+G4     1677.037     35  3424.074     3431.254     3562.619
 44  TVMe+R2       1677.425     35  3424.851     3432.030     3563.396
 45  TVMe+R3       1677.149     37  3428.299     3436.356     3574.761
 54  TIM3+F+I      1590.103     36  3252.205     3259.817     3394.709
 55  TIM3+F+G4     1588.356     36  3248.713     3256.324     3391.216
 56  TIM3+F+I+G4   1588.371     37  3250.742     3258.800     3397.204
 57  TIM3+F+R2     1592.981     37  3259.962     3268.020     3406.424
 58  TIM3+F+R3     1589.586     39  3257.172     3266.163     3411.550
 59  TIM3+F+R4     1588.420     41  3258.840     3268.823     3421.136
 67  TIM3e+I       1713.118     33  3492.236     3498.593     3622.864
 68  TIM3e+G4      1711.179     33  3488.358     3494.715     3618.986
 69  TIM3e+I+G4    1711.314     34  3490.629     3497.390     3625.215
 70  TIM3e+R2      1710.954     34  3489.908     3496.669     3624.495
